"age" "race" "ethnicty" "educ" "sex" "livewith" "famtime" "crimtype" "everviol" "numarr" "probtn" "corrinst" "evertime" "prviol" "prprop" "prdrug" "prpub" "prjuv" "agefirst" "usewepn" "alcuse" "everdrug"
"72" 15 1 2 10 1 3 1 "1" 1 12 2 15 1 1 1 0 0 1 13 1 "1" "1"
"73" 15 2 2 10 1 3 2 "2" 0 30 1 1 1 0 1 0 0 0 12 1 "2" "1"
"74" 16 2 2 9 1 1 1 "1" 1 2 1 0 2 1 0 0 1 0 15 1 "1" "0"
"75" 16 2 2 9 1 1 2 "1" 1 11 2 2 1 0 1 0 0 0 13 2 "2" "1"
"76" 15 2 2 7 1 1 2 "2" 0 9 1 0 2 0 1 0 0 0 14 2 "1" "1"
"77" 16 2 2 9 1 1 1 "1" 1 4 1 1 1 1 1 0 0 0 13 1 "1" "1"
"78" 15 2 1 9 1 1 2 "1" 1 2 1 1 1 0 0 0 1 0 15 2 "1" "1"
"79" 14 1 2 7 1 4 1 "1" 1 3 0 1 1 0 0 0 0 0 9 2 "2" "1"
"80" 16 2 2 9 1 4 1 "1" 1 2 0 99 9 0 0 0 0 0 15 2 "1" "1"
"81" 16 2 2 8 1 3 1 "2" 0 2 1 2 1 0 1 0 0 0 15 2 "3" "0"
"82" 16 1 2 9 1 1 1 "1" 1 46 2 2 1 1 1 0 1 1 9 2 "1" "1"
"83" 15 2 2 9 1 4 2 "2" 0 5 1 1 1 0 1 0 0 0 12 2 "3" "0"
"84" 16 1 2 9 1 1 1 "1" 1 14 1 1 1 1 1 1 0 0 11 1 "1" "1"
"85" 18 1 2 10 1 1 2 "2" 0 6 1 2 1 0 1 0 0 0 14 2 "3" "9"
"86" 17 1 2 11 1 1 1 "1" 1 5 2 0 2 1 0 0 0 0 16 2 "1" "1"
"87" 18 2 2 10 1 3 2 "1" 1 8 2 5 1 1 0 1 0 0 14 2 "3" "1"
"88" 17 2 1 10 1 3 2 "3" 1 15 13 0 2 1 0 1 1 1 13 2 "2" "1"
"89" 18 1 1 7 1 3 2 "1" 1 3 0 0 2 0 0 0 0 0 15 1 "2" "1"
"90" 17 1 2 9 1 1 2 "1" 1 8 12 1 1 0 0 1 0 0 14 2 "1" "1"
"91" 17 5 1 9 1 1 1 "2" 1 7 2 1 1 1 1 1 0 0 14 2 "2" "1"
"92" 18 2 2 10 1 1 2 "1" 1 27 1 2 1 1 1 0 1 0 10 1 "3" "1"
"93" 19 1 2 11 1 3 2 "2" 1 20 6 3 1 1 1 1 1 1 13 2 "1" "1"
"94" 17 2 2 11 1 3 1 "3" 0 4 1 3 1 0 0 1 0 0 15 2 "1" "1"
"95" 17 2 2 10 1 5 1 "3" 1 3 0 1 1 1 1 0 0 0 13 2 "3" "0"
"96" 18 2 2 10 1 1 2 "2" 0 11 1 1 1 0 1 0 0 0 15 2 "1" "1"
"97" 18 2 2 9 1 1 2 "1" 1 5 1 2 1 0 1 0 0 0 13 2 "1" "1"
"98" 18 2 2 11 1 1 1 "1" 1 5 1 0 2 0 0 0 0 0 14 2 "1" "1"
"99" 17 2 2 11 1 1 2 "1" 1 2 2 0 2 1 1 1 0 0 17 1 "3" "1"
"100" 20 2 1 10 1 1 1 "1" 1 1 0 0 2 0 0 1 0 0 15 1 "3" "1"
"101" 18 1 1 10 1 3 1 "3" 0 20 2 2 1 0 1 1 1 0 10 1 "1" "1"
"102" 17 2 2 9 1 3 1 "1" 1 4 1 0 2 0 1 0 0 0 16 2 "1" "1"
"103" 19 5 1 9 1 1 1 "1" 1 3 1 1 1 0 1 0 0 1 16 2 "2" "1"
"104" 17 2 2 9 1 1 2 "4" 0 3 1 1 1 0 0 0 1 0 16 2 "3" "1"
"105" 17 2 2 10 1 3 1 "2" 1 9 1 3 1 1 1 0 0 1 14 1 "3" "0"
"106" 18 1 1 9 1 1 2 "3" 1 9 2 1 1 1 1 0 0 0 11 2 "1" "1"
"107" 17 1 1 10 1 2 2 "3" 0 2 2 0 2 0 0 0 1 0 17 2 "1" "1"
"108" 17 2 2 11 1 1 2 "3" 0 3 2 0 2 0 1 1 0 1 16 2 "3" "1"
"109" 17 2 2 8 1 1 2 "1" 1 20 1 99 1 1 1 0 1 0 9 1 "1" "1"
"110" 17 2 2 9 1 1 1 "3" 1 4 3 0 2 1 0 1 0 0 16 2 "3" "1"
"111" 21 2 2 7 1 1 1 "2" 1 4 2 4 1 1 1 0 0 1 17 2 "3" "0"
"112" 22 2 2 11 1 1 1 "1" 1 10 21 99 9 1 0 1 1 0 14 1 "3" "1"
"113" 18 2 2 11 1 1 2 "2" 1 3 99 0 2 1 1 1 0 0 14 2 "1" "1"
"114" 18 9 1 10 1 1 1 "1" 1 1 0 0 2 1 1 1 0 1 16 1 "2" "1"
"115" 19 5 1 7 1 1 1 "3" 0 3 0 1 1 0 0 0 0 0 17 2 "2" "1"
"116" 19 2 2 12 1 1 2 "1" 1 45 1 1 1 0 1 0 0 0 14 2 "3" "1"
"117" 18 2 2 10 1 1 1 "3" 1 10 1 1 1 1 0 1 1 0 13 2 "3" "1"
"118" 18 2 2 11 1 1 2 "1" 1 6 1 1 1 0 1 1 0 0 11 1 "2" "1"
"119" 18 1 1 9 1 1 2 "1" 1 8 0 0 2 0 0 0 0 0 15 1 "1" "1"
"120" 18 2 2 10 1 1 1 "1" 1 17 1 0 2 1 0 0 0 0 16 1 "1" "1"
"121" 19 1 2 11 1 3 2 "1" 1 3 0 0 2 0 0 0 0 0 16 2 "1" "1"
"122" 17 1 2 11 1 1 2 "1" 1 20 3 0 2 0 1 0 1 0 11 1 "1" "1"
"123" 17 2 2 9 1 1 2 "3" 0 6 2 0 2 0 1 1 0 0 12 2 "1" "1"
"124" 19 2 2 9 1 1 2 "1" 1 1 0 0 2 0 0 0 0 0 16 2 "3" "1"
"125" 17 5 1 9 1 1 2 "4" 1 6 10 1 1 1 1 1 0 0 14 1 "2" "1"
"126" 16 2 2 8 1 3 2 "1" 1 3 1 1 1 0 0 0 0 0 15 2 "1" "1"
"127" 16 2 2 9 1 3 1 "1" 1 30 3 0 2 1 1 1 0 0 13 1 "3" "1"
"128" 18 2 2 10 1 3 2 "3" 0 1 1 0 2 0 0 1 0 0 17 2 "2" "9"
"129" 16 2 2 9 1 3 1 "2" 0 7 3 0 2 0 1 0 1 0 11 2 "1" "1"
"130" 16 1 2 11 1 1 1 "3" 1 40 1 1 1 1 1 1 0 1 11 2 "1" "1"
"131" 17 2 2 9 1 1 2 "1" 1 5 1 0 2 1 1 0 1 0 16 2 "1" "1"
"132" 16 2 2 9 1 3 2 "1" 1 10 1 1 1 0 1 0 0 0 13 2 "1" "1"
"133" 15 2 2 8 1 1 2 "1" 1 2 1 0 2 0 0 0 0 0 14 2 "3" "0"
"134" 16 5 1 7 1 3 2 "2" 0 3 0 0 2 0 0 0 0 0 15 2 "1" "1"
"135" 16 2 2 9 1 3 2 "3" 0 4 2 0 2 0 0 0 0 0 13 2 "3" "1"
"136" 16 2 2 10 1 1 2 "1" 1 3 0 1 1 0 0 0 0 0 15 2 "1" "1"
"137" 16 2 1 8 1 1 1 "2" 0 7 22 0 2 0 1 1 0 0 13 2 "1" "1"
"138" 16 2 2 10 1 3 1 "1" 1 40 3 1 1 0 1 0 0 0 14 1 "1" "1"
"139" 16 2 2 8 1 4 2 "2" 0 12 1 0 2 0 0 0 0 0 11 2 "1" "1"
"140" 17 1 2 6 1 3 1 "2" 0 10 10 8 1 0 1 0 1 1 9 2 "1" "1"
"141" 16 5 1 10 1 1 2 "1" 1 2 2 1 1 1 0 0 0 0 14 2 "3" "1"
"142" 13 2 2 8 1 99 9 "1" 1 4 2 2 1 1 1 1 0 0 9 1 "1" "1"
"143" 14 1 2 7 1 1 1 "2" 1 4 1 0 2 1 1 0 0 0 11 1 "1" "1"
"144" 15 2 1 7 1 1 1 "1" 1 4 0 1 1 0 0 0 0 0 11 1 "1" "1"
"145" 18 2 2 10 1 1 2 "3" 0 8 1 0 2 0 0 0 0 0 15 2 "1" "1"
"146" 16 2 2 8 1 3 2 "1" 1 1 1 0 2 1 0 0 0 0 16 2 "1" "0"
"147" 16 2 2 10 1 4 2 "3" 1 10 5 3 1 1 1 1 0 0 14 2 "1" "1"
"148" 17 1 2 10 1 1 2 "4" 0 25 5 0 2 0 1 0 0 0 10 2 "1" "1"
"149" 17 1 1 9 1 1 2 "2" 0 5 3 2 1 0 1 0 0 0 13 2 "1" "1"
"150" 18 1 1 7 1 1 1 "3" 0 10 1 2 1 0 1 0 0 0 13 2 "3" "1"
"151" 16 1 1 9 1 1 1 "2" 1 5 1 1 1 1 1 0 0 0 9 2 "3" "1"
"152" 15 5 1 8 1 1 2 "1" 1 2 0 0 2 0 0 1 1 0 13 1 "1" "1"
"153" 16 1 2 10 1 1 1 "1" 1 30 2 0 2 1 1 1 1 1 13 2 "1" "1"
"154" 17 2 2 12 1 1 1 "1" 1 8 22 99 1 0 1 1 1 0 13 2 "3" "1"
"155" 17 2 2 10 1 1 2 "1" 1 15 2 2 1 0 1 1 1 0 11 2 "1" "1"
"156" 16 2 2 10 1 1 1 "1" 1 2 0 0 2 0 0 0 0 0 15 1 "1" "1"
"157" 14 2 2 8 1 1 2 "1" 1 2 0 0 2 1 0 0 0 0 13 2 "1" "1"
"158" 16 2 2 8 1 1 1 "2" 0 30 2 8 1 0 1 1 0 0 14 2 "1" "1"
"159" 17 5 1 9 1 3 2 "1" 1 20 1 1 1 0 0 1 0 0 14 1 "1" "1"
"160" 15 1 2 8 1 1 1 "1" 1 10 3 0 2 0 1 0 1 0 9 2 "1" "1"
"161" 16 2 2 9 1 1 2 "1" 1 2 1 0 2 0 0 0 0 0 16 2 "3" "0"
"162" 14 2 2 7 1 1 1 "1" 1 11 3 1 1 1 0 1 0 0 10 1 "3" "1"
"163" 15 1 1 9 1 1 1 "4" 1 15 6 0 2 1 1 0 0 1 12 2 "1" "1"
"164" 15 2 2 10 1 1 2 "1" 1 5 1 5 1 1 1 0 0 0 11 2 "1" "1"
"165" 16 2 2 9 1 1 2 "3" 0 5 3 2 1 0 1 1 0 0 15 2 "3" "1"
"166" 16 1 2 10 1 1 1 "1" 1 15 3 10 1 1 1 0 0 0 11 2 "1" "0"
"167" 17 1 2 11 1 1 2 "2" 0 2 0 1 1 0 0 0 0 0 16 2 "1" "1"
"168" 16 2 2 11 1 1 1 "2" 0 3 3 0 2 0 1 0 0 0 14 2 "1" "0"
"169" 19 2 2 12 1 5 2 "2" 0 1 1 0 2 0 0 0 0 0 17 2 "1" "1"
"170" 15 2 2 8 1 1 2 "1" 1 3 1 0 2 0 1 1 0 0 12 2 "1" "1"
"171" 16 2 2 10 1 1 1 "3" 0 3 2 0 2 0 0 1 0 0 14 2 "3" "1"
"172" 17 2 2 10 1 1 1 "1" 1 10 4 1 1 1 1 1 0 0 13 1 "2" "0"
"173" 17 2 2 11 1 1 2 "2" 1 3 1 0 2 1 0 0 0 0 13 2 "1" "1"
"174" 15 1 1 12 1 3 1 "1" 1 10 1 0 2 0 1 0 0 0 10 1 "3" "0"
"175" 14 2 2 7 1 1 1 "1" 1 10 1 1 1 0 1 0 1 0 12 1 "1" "1"
"176" 17 1 2 9 1 1 1 "2" 0 22 1 13 1 0 1 0 1 1 8 2 "1" "1"
"177" 16 2 2 8 2 1 1 "1" 1 1 0 0 2 0 0 0 0 0 16 1 "1" "1"
"178" 15 5 1 8 2 1 1 "1" 1 7 0 0 2 0 0 0 0 1 12 1 "1" "1"
"179" 17 2 2 8 2 1 2 "1" 1 5 1 3 1 0 0 1 0 0 12 2 "1" "1"
"180" 16 2 2 9 2 1 1 "1" 1 5 1 1 1 0 1 0 0 0 14 2 "3" "1"
"181" 17 2 2 10 1 1 1 "2" 0 2 2 1 1 0 1 0 0 0 13 2 "1" "1"
"182" 16 2 2 10 1 1 9 "2" 1 3 1 1 1 1 1 1 0 1 15 2 "2" "1"
"183" 15 2 2 9 1 1 1 "2" 0 20 2 0 2 0 1 0 0 0 13 2 "1" "1"
"184" 15 1 1 6 1 1 2 "2" 0 3 0 0 2 0 1 0 0 0 14 2 "2" "1"
"185" 14 2 2 14 1 3 1 "1" 1 2 3 1 1 0 0 0 0 0 10 2 "3" "1"
"186" 15 1 2 8 1 3 1 "2" 0 5 1 1 1 0 0 0 0 1 11 2 "3" "1"
"187" 14 2 2 7 1 1 2 "1" 1 2 2 0 2 0 1 1 0 0 13 2 "1" "1"
"188" 15 1 1 14 1 1 2 "2" 0 20 2 0 2 0 1 0 0 0 14 1 "1" "1"
"189" 17 2 2 14 1 5 9 "1" 1 99 0 13 1 0 1 0 0 1 13 2 "3" "0"
"190" 17 2 2 12 1 4 2 "2" 0 10 0 0 2 0 1 0 0 0 13 2 "3" "0"
"191" 16 2 2 9 1 1 1 "2" 0 12 1 0 2 0 0 0 0 0 12 2 "1" "1"
"192" 17 2 2 11 1 1 2 "1" 1 1 0 4 1 0 0 0 0 0 13 1 "1" "1"
"193" 18 1 2 8 1 1 2 "2" 1 11 4 5 1 1 1 0 0 0 14 2 "2" "1"
"194" 16 2 2 10 1 1 1 "2" 1 7 2 6 1 1 1 1 1 1 13 2 "3" "1"
"195" 17 2 2 5 1 1 2 "2" 1 1 1 0 2 1 1 0 0 0 15 2 "2" "0"
"196" 16 1 2 9 1 1 1 "2" 0 1 0 2 1 0 0 0 0 0 15 2 "1" "1"
"197" 18 1 2 7 1 1 1 "2" 1 6 6 7 1 1 1 1 0 1 12 2 "1" "1"
"198" 17 1 2 10 1 3 2 "2" 1 10 0 10 1 1 1 1 1 1 11 2 "1" "1"
"199" 16 1 2 8 1 1 2 "1" 1 2 0 1 1 0 1 0 0 1 15 2 "1" "1"
"200" 15 1 2 9 1 1 2 "1" 1 99 1 2 1 1 1 0 0 1 99 2 "1" "1"
"201" 17 2 2 9 1 3 2 "1" 1 2 0 2 1 0 0 0 0 0 15 1 "2" "1"
"202" 14 1 2 14 1 1 2 "2" 0 2 1 2 1 0 1 0 0 1 14 2 "3" "0"
"203" 14 2 2 7 1 1 2 "2" 0 96 1 1 1 0 1 0 0 1 9 1 "1" "1"
"204" 15 2 1 7 1 4 1 "2" 1 20 3 7 1 1 1 0 0 1 11 2 "1" "1"
"205" 15 2 2 7 1 1 1 "1" 1 7 0 1 1 0 0 0 0 0 14 2 "2" "0"
"206" 15 2 2 6 1 4 1 "2" 0 1 0 1 1 0 1 0 0 1 15 1 "2" "1"
"207" 14 2 2 7 1 5 1 "2" 0 99 0 1 1 0 0 0 0 1 12 2 "2" "0"
"208" 14 2 2 6 1 1 2 "1" 1 2 0 0 2 0 0 0 0 0 12 1 "2" "0"
"209" 16 1 2 9 1 3 2 "2" 0 4 3 0 2 0 1 0 0 1 14 2 "1" "1"
"210" 17 1 2 8 1 1 1 "2" 1 18 0 2 1 1 1 0 0 0 12 2 "1" "1"
"211" 14 1 2 8 1 1 1 "1" 1 1 1 0 2 1 1 0 1 0 14 1 "1" "0"
"212" 15 2 2 10 1 3 1 "1" 1 1 0 0 2 0 0 0 0 0 13 1 "1" "1"
"213" 17 1 2 8 1 3 2 "1" 1 1 0 0 2 0 0 0 0 0 15 2 "3" "0"
"214" 17 2 2 9 1 1 2 "2" 0 4 1 2 1 0 1 0 0 0 15 2 "1" "0"
"215" 17 4 2 8 1 4 1 "4" 0 1 0 0 2 0 0 0 0 0 15 1 "1" "1"
"216" 15 1 2 5 1 1 2 "2" 1 20 6 2 1 1 1 1 1 1 10 1 "1" "1"
"217" 15 2 2 7 1 4 1 "2" 0 99 0 8 1 0 0 0 0 0 6 2 "2" "1"
"218" 17 2 1 10 1 1 1 "1" 1 2 1 0 2 0 1 0 0 0 13 2 "2" "1"
"219" 17 1 2 10 1 1 2 "2" 1 1 1 4 1 1 0 1 0 1 99 2 "1" "1"
"220" 17 1 2 9 1 2 1 "1" 1 3 2 3 1 0 1 0 0 1 15 2 "1" "0"
"221" 15 2 2 7 1 1 2 "1" 1 2 1 0 2 0 0 0 0 0 14 2 "3" "1"
"222" 14 2 2 8 1 1 2 "2" 0 99 0 0 2 0 0 0 0 0 11 2 "2" "0"
"223" 16 1 2 9 1 1 2 "1" 1 1 0 7 1 0 0 0 0 0 99 1 "2" "1"
"224" 15 1 2 11 1 3 2 "1" 1 99 0 0 2 0 0 0 0 0 99 2 "1" "0"
"225" 15 1 2 8 1 1 1 "5" 0 8 2 5 1 0 1 0 0 1 7 2 "1" "1"
"226" 17 1 2 9 1 1 1 "1" 1 5 4 9 1 1 1 0 0 1 12 2 "2" "1"
"227" 15 1 2 9 1 1 1 "1" 1 1 0 0 2 0 0 0 0 0 14 2 "1" "1"
"228" 15 1 2 8 1 3 2 "1" 1 15 2 0 2 0 1 0 0 1 12 1 "1" "1"
"229" 15 2 2 9 1 1 1 "1" 1 11 2 2 1 1 1 0 1 0 10 1 "1" "1"
"230" 13 2 2 8 1 3 2 "4" 1 3 1 1 1 1 1 0 0 1 12 2 "3" "0"
"231" 15 1 2 9 1 1 1 "2" 1 12 1 2 1 1 1 0 1 1 10 2 "1" "1"
"232" 15 1 2 7 1 1 1 "2" 0 3 1 5 1 0 0 0 0 1 11 2 "3" "1"
"233" 17 1 2 9 1 1 1 "2" 0 2 1 2 1 0 1 1 0 0 15 1 "1" "1"
"234" 16 2 2 11 1 1 1 "1" 1 2 1 2 1 1 0 1 0 1 14 2 "1" "1"
"235" 16 2 2 9 1 1 1 "1" 1 9 1 0 2 1 0 0 0 0 14 2 "1" "1"
"236" 14 2 2 9 1 1 2 "4" 0 5 1 3 1 0 1 0 0 1 11 2 "1" "1"
"237" 16 1 2 10 1 1 2 "1" 1 30 1 4 1 1 1 0 1 1 11 2 "1" "1"
"238" 15 2 2 7 1 1 1 "2" 0 16 2 0 2 0 0 0 0 1 10 2 "1" "1"
"239" 15 2 2 8 1 7 2 "1" 1 8 0 0 2 0 0 0 0 0 12 2 "3" "0"
"240" 15 1 2 8 1 3 2 "1" 1 3 1 0 2 0 0 0 0 1 13 2 "1" "1"
"241" 15 1 2 8 1 3 1 "1" 1 13 1 2 1 1 0 1 0 1 12 2 "3" "1"
"242" 14 2 2 7 1 3 2 "1" 1 4 1 0 2 0 1 0 0 0 12 2 "3" "0"
"243" 17 2 2 9 1 1 2 "2" 0 70 1 0 2 0 1 0 0 0 14 2 "1" "1"
"244" 13 1 2 7 1 4 1 "2" 1 12 1 0 2 1 1 0 0 1 12 2 "2" "1"
"245" 15 1 2 7 1 1 1 "2" 0 3 1 1 1 0 0 0 0 0 13 2 "1" "1"
"246" 14 1 2 8 1 3 1 "4" 1 13 1 0 2 1 1 1 0 1 11 2 "1" "1"
"247" 15 1 2 8 1 1 2 "2" 1 4 1 0 2 1 0 0 0 0 12 2 "1" "0"
"248" 14 2 2 8 1 3 2 "1" 1 2 0 0 2 0 0 0 0 0 13 2 "1" "0"
"249" 15 2 2 9 1 4 1 "1" 1 8 2 2 1 0 1 0 0 1 12 1 "1" "1"
"250" 16 2 2 9 1 3 1 "2" 0 65 4 5 1 0 1 0 1 1 7 2 "1" "1"
"251" 16 2 2 7 1 4 1 "1" 1 4 0 0 2 0 0 0 0 0 15 2 "1" "0"
"252" 14 2 2 8 1 1 1 "1" 1 2 0 0 2 0 0 0 0 1 13 2 "1" "0"
"253" 15 2 2 10 1 3 2 "2" 1 15 1 1 1 1 1 0 0 0 12 2 "3" "0"
"254" 17 1 2 10 1 6 1 "2" 1 40 4 6 1 1 1 1 1 1 10 1 "1" "1"
"255" 15 1 2 10 1 4 1 "1" 1 1 0 0 2 0 0 0 1 0 15 2 "1" "1"
"256" 15 2 2 8 1 3 1 "1" 1 2 1 0 2 0 1 0 0 0 14 2 "1" "1"
"257" 16 1 1 9 1 1 1 "2" 0 40 1 1 1 0 1 0 0 1 9 2 "1" "1"
"258" 15 1 2 7 1 3 1 "2" 0 7 1 0 2 0 1 0 0 1 11 2 "1" "1"
"259" 13 1 2 8 1 3 1 "2" 0 5 2 1 1 0 1 0 0 1 9 1 "1" "1"
