"TotalComp" "WideIndustry" "Company" "CEO" "CityofBirth" "StateofBirth" "Age" "Undergrad" "UGDegree" "UGDate" "AgeOfUnder" "Graduate" "GradDegree" "MBA" "MasterPhd" "G_date" "AgeOfGradu" "YearsFirm" "YearsCEO" "Salary" "Bonus" "other" "St_gains" "Compfor5yrs" "Stockowned" "Sales" "Profits" "Returnover5yrs" "Industry" "IndustryCode" "Log10TC1"
"11" 5354910 "Aerospacedefense" "Rockwell Internation" "Mr. Donald R Beall" "Beaumont" "CA" 55 "San Jose State" "BS" 60 21 "U of Pittsburgh" "MBA" 1 1 61 22 26 6 815000 900000 3639910 NA 15142300 0.180999994277954 10952 583.599975585938 16 "Aerospacedefense" 11 6.72875213623047
"12" 2440490 "Aerospacedefense" "United Technologies" "Mr. GeorgeDavid" "Bryn Mawr" "PA" 52 "Harvard" "BA" 65 23 "U of Virginia" "MBA" 1 1 67 25 19 1 770833 600000 905529 164124 NA 0.0540000014007092 20736 487 10 "Aerospacedefense" 11 6.38747692108154
"13" 9544050 "Aerospacedefense" "AlliedSignal" "Mr. Lawrence A Bossidy" "Pittsfield" "MA" 59 "Colgate U" "BA" 57 22 "" "none" 0 0 NA NA 3 3 1100000 1500000 4128400 2815650 20743300 0.063000001013279 11827 656 22 "Aerospacedefense" 11 6.97973299026489
"14" 33689900 "Aerospacedefense" "Loral" "Mr. Bernard L Schwartz" "New York" "NY" 68 "CUNY City" "BBA" 48 22 "" "none" 0 0 NA NA 22 22 859000 3525670 3316240 25989000 64753300 1.72800004482269 3562 201.399993896484 20 "Aerospacedefense" 11 7.52750015258789
"15" 4784830 "Aerospacedefense" "Raytheon" "Mr. Dennis J Picard" "Providence" "RI" 61 "Northeastern U" "BSE" 62 29 "" "none" 0 0 NA NA 39 3 870762 870000 2109560 934514 10653100 0.143999993801117 9201 693 17 "Aerospacedefense" 11 6.67986679077148
"16" 1368450 "Aerospacedefense" "Sundstrand" "Mr. Harry C Stonecipher" "Scott County" "TN" 58 "Tennessee Tech" "BS" 60 24 "" "none" 0 0 NA NA 7 5 650000 186875 531579 NA 5360480 0.609000027179718 1383 145.699996948242 13 "Aerospacedefense" 11 6.13622903823853
"17" NA "Aerospacedefense" "Litton Industries" "Mr. John M Leonis" "Whittier" "CA" 60 "U of Arizona" "BSE" 59 25 "" "none" 0 0 NA NA 34 1 NA NA NA NA NA 9.99999974737875e-06 3492 -21.2000007629395 14 "Aerospacedefense" 11 NA
"18" 1924660 "Aerospacedefense" "E-Systems" "Mr. A LowellLawson" "Macon" "GA" 56 "U of Georgia" "BS" 60 22 "" "none" 0 0 NA NA 30 1 425017 345000 367150 787495 NA 0.118000000715256 2097 121.900001525879 12 "Aerospacedefense" 11 6.2843542098999
"19" 796635 "Aerospacedefense" "Grumman" "Dr. Renso L Caporali" "Batavia" "NY" 61 "ClarksonU" "BCE" 54 21 "Princeton" "PhD" 0 1 64 31 35 4 450000 310000 36635 NA 1880140 0.122000001370907 3225 58.7999992370605 30 "Aerospacedefense" 11 5.90125894546509
"20" 1131800 "Business" "Browning-Ferris Indu" "Mr. William D Ruckelshaus" "Indianapolis" "IN" 61 "Princeton" "BA" 57 24 "Harvard" "LLB" 0 1 60 27 7 6 828000 297500 6304 NA 4988490 0.0149999996647239 3581 204.100006103516 -1 "Business-environmentalwaste" 10 6.05377006530762
"21" 1012540 "Business" "Thermo Electron" "Dr. George N Hatsopoulos" "Greece" "" 67 "MIT" "BS" 49 22 "MIT" "PhD" 0 1 56 29 38 38 417000 450000 10118 135420 9870720 2.00699996948242 1250 76.5999984741211 23 "Business-environmentalwaste" 10 6.00541210174561
"22" 1486110 "Business" "WMX Technologies" "Mr. Dean L Buntrock" "Columbia" "SD" 62 "St Olaf C" "BA" 55 23 "" "none" 0 0 NA NA 38 26 1400000 NA 83919 2188 22445800 0.577000021934509 9136 452.799987792969 2 "Business-environmentalwaste" 10 6.17205095291138
"23" 715623 "Business" "Harsco" "Mr. Derek C Hathaway" "England" "NC" 50 "" "" NA NA "" "none" 0 0 NA NA 28 1 270834 148282 160469 136038 NA 0.0879999995231628 1422 80.8000030517578 17 "Business-industrial services" 10 5.8546838760376
"24" 474091 "Business" "First Data" "Mr. Henry C Duques" "Washington" "DC" 50 "George Washingt" "BS" 65 21 "George Washingt" "MBA" 1 1 69 25 7 5 413061 NA 61030 NA 3435230 9.99999974737875e-06 1490 173 35 "Business-services" 13 5.67586183547974
"25" 1117850 "Business" "Equifax" "Mr. C B Rogers Jr" "New York" "NY" 64 "Gettysburg C" "BA" 51 21 "George Washingt" "MBA" 1 1 62 32 7 5 496184 NA 621670 NA 5342210 0.45100000500679 1217 63.5 15 "Business-services" 13 6.04838418960571
"26" 23136400 "Business" "First Financial Mana" "Mr. Patrick H Thomas" "Atlanta" "GA" 51 "Georgia State U" "BS" 60 17 "Georgia State U" "MS" 0 1 61 18 23 20 875000 5410130 13423000 3428280 40027700 0.811999976634979 1670 127.599998474121 28 "Business-services" 13 7.36429595947266
"27" 828219 "Business" "Kelly Services" "Mr. Terence E Adderley" "Detroit" "MI" 60 "U of Michigan" "BBA" 55 21 "U of Michigan" "MBA" 1 1 56 22 36 27 540000 190000 98219 NA 3341770 5.41800022125244 1955 44.5999984741211 4 "Business-services" 13 5.91814517974854
"28" 8110850 "Business" "Automatic Data Proce" "Mr. Josh S Weston" "Brooklyn" "NY" 65 "CUNY City" "BS" 50 21 "U of New Zealan" "MA" 0 1 52 23 24 11 1005000 NA 436600 6669250 19719900 0.160999998450279 2339 310.799987792969 24 "Business-services" 13 6.90906620025635
"29" 2748420 "Business" "Computer Sciences" "Mr. William R Hoover" "Bingham Canyon" "UT" 64 "U of Utah" "BS" 53 23 "U of Utah" "MS" 0 1 54 24 30 22 580962 440000 592679 1134780 8105350 1.05900001525879 2502 84.1999969482422 18 "Business-services" 13 6.43908309936523
"30" 1901450 "Business" "Ogden" "Mr. R RichardAblon" "New York" "NY" 44 "Boston U" "BA" 71 21 "" "none" 0 0 NA NA 23 4 700000 875000 272316 54138 9668500 0.501999974250793 2039 62.0999984741211 2 "Business-services" 13 6.27908515930176
"31" 1008510 "Business" "HR Block" "Mr. Thomas M Bloch" "Kansas City" "MO" 40 "Claremont McKen" "BA" 76 22 "" "none" 0 0 NA NA 18 2 366667 254287 27797 359754 NA 0.331999987363815 1278 189.399993896484 29 "Business-services" 13 6.00368022918701
"32" 1189440 "Business" "PHH" "Mr. Robert D Kunisch" "Norwalk" "CT" 52 "NYU" "BBA" 63 21 "" "none" 0 0 NA NA 28 6 620000 490003 6690 72750 4409480 0.289000004529953 2116 63 5 "Business-services" 13 6.07534313201904
"33" 6124100 "Business" "Olsten" "Mr. Frank N Liguori" "New York" "NY" 47 "St Francis C NY" "BBA" 69 22 "" "none" 0 0 NA NA 23 4 621154 500000 5002950 NA 9623310 1.61300003528595 2158 -11.8999996185303 24 "Business-services" 13 6.78704214096069
"34" 2105840 "Business" "Interpublic Group of" "Mr. Philip H Geier Jr" "Pontiac" "MI" 59 "Colgate U" "BA" 57 22 "Columbia" "MBA" 1 1 58 23 19 14 965000 350000 790840 NA 29805100 0.712999999523163 1740 125.300003051758 20 "Business-services" 13 6.32342481613159
"35" 2795510 "Business" "Omnicom Group" "Mr. BruceCrawford" "West Bridgewate" "MA" 65 "U of Pennsylvan" "BS" 52 23 "" "none" 0 0 NA NA 5 5 875000 565000 521138 834375 8024780 0.307000011205673 1516 85.3000030517578 23 "Business-services" 13 6.44646120071411
"36" 1145140 "Business" "WW Grainger" "Mr. David W Grainger" "Chicago" "IL" 66 "U of Wisc Madis" "BSE" 50 22 "" "none" 0 0 NA NA 42 20 607000 389000 149136 NA 5537630 10.2329998016357 2628 149.300003051758 20 "Business-services" 13 6.05885887145996
"37" 341057 "Business" "FlightSafety Interna" "Mr. Albert L Ueltschi" "Frankfort" "KY" 77 "" "" NA NA "" "none" 0 0 NA NA 43 43 220000 118800 2257 NA 1662740 35.9039993286133 297 66.4000015258789 4 "Business-services" 13 5.53282690048218
"38" 1264220 "Business" "Manpower" "Mr. Mitchell S Fromstein" "Milwaukee" "WI" 66 "" "" NA NA "" "none" 0 0 NA NA 18 18 860000 400463 3758 NA 5954810 0.324000000953674 3180 -48.9000015258789 10 "Business-services" 13 6.10182285308838
"39" 1044280 "Business" "Alco Standard" "Mr. John E Stuart" "Berkeley" "CA" 50 "Pace U NY" "BS" 80 36 "Pace U NY" "MBA" 1 1 80 36 9 1 393750 350000 100533 200000 NA 0.046000000089407 6916 6 17 "Business-supplies" 13 6.01881694793701
"40" 2229870 "Business" "Xerox" "Mr. Paul A Allaire" "Worcester" "MA" 55 "Worcester Polyt" "BSE" 60 21 "Carnegie-Mellon" "MSIA" 0 1 66 27 28 4 763330 500000 88551 877984 7556470 0.034000001847744 17334 -126 15 "Business-supplies" 13 6.34827995300293
"41" 1935170 "Business" "Avery Dennison" "Mr. Charles D Miller" "Hartford" "CT" 66 "Johns Hopkins U" "BA" 49 21 "" "none" 0 0 NA NA 30 16 683333 555000 195939 500901 10303300 0.28999999165535 2609 83.3000030517578 7 "Business-supplies" 13 6.28671884536743
"42" 1628410 "Business" "Minnesota MiningMa" "Mr. Livio D DeSimone" "Canada" "" 57 "McGill" "BSC" 57 20 "" "none" 0 0 NA NA 37 3 759600 248130 605395 15288 5257390 0.0230000000447035 14020 1263 12 "Business-supplies" 13 6.21176385879517
"43" 945695 "Business" "Comdisco" "Mr. Kenneth N Pontikes" "Chicago" "IL" 54 "Southern Illino" "BA" 63 23 "" "none" 0 0 NA NA 25 25 500000 440605 5090 NA 6589710 24.2310009002686 2118 70 -1 "Business-supplies" 13 5.97575092315674
"44" 2859300 "Business" "Pitney Bowes" "Mr. George B Harvey" "New Haven" "CT" 63 "U of Pennsylvan" "BS" 54 23 "" "none" 0 0 NA NA 37 11 676667 585000 1100010 497620 10811500 0.199000000953674 3543 353.200012207031 16 "Business-supplies" 13 6.45626020431519
"45" 1232430 "Business" "Deluxe" "Mr. Harold V Haverty" "Detroit" "MI" 64 "" "" NA NA "" "none" 0 0 NA NA 40 8 802500 16452 131683 281794 4966940 0.0700000002980232 1582 141.899993896484 6 "Business-supplies" 13 6.0907621383667
"46" 8410030 "Business" "Sensormatic Electron" "Mr. Ronald G Assaf" "Akron" "OH" 58 "" "" NA NA "" "none" 0 0 NA NA 28 23 415484 370000 51046 7573500 11983900 0.512000024318695 549 63.2000007629395 38 "Business-supplies" 13 6.92479801177979
"47" 1407080 "Capital goods" "Westinghouse Electri" "Mr. Michael H Jordan" "Kansas City" "MO" 57 "Yale" "BSC" 57 20 "Princeton" "MSCE" 0 1 59 22 1 1 1000000 400000 7075 NA NA 0.00100000004749745 8875 -270 -11 "Capital goods-electrical equipment" 14 6.14831876754761
"48" 831340 "Capital goods" "Hubbell" "Mr. G J Ratcliffe" "Charleston" "WV" 58 "Duke U" "AB" 58 22 "U of Virginia" "JD" 0 1 61 25 20 6 442900 340000 48440 NA 6464150 0.361000001430511 832 66.3000030517578 19 "Capital goods-electrical equipment" 14 5.91977882385254
"49" 9093260 "Capital goods" "Emerson Electric" "Mr. Charles F Knight" "Lake Forest" "IL" 58 "Cornell" "BME" 58 22 "Cornell" "MBA" 1 1 59 23 21 21 800000 1100000 6196990 996275 19707900 0.270000010728836 8200 838.700012207031 18 "Capital goods-electrical equipment" 14 6.95872020721436
"50" 619372 "Capital goods" "National Service Ind" "Mr. D RaymondRiddle" "Oglethorpe" "GA" 60 "Georgia Tech" "BS" 55 21 "" "none" 0 0 NA NA 1 1 500000 100000 19372 NA NA 0.00999999977648258 1843 77.3000030517578 5 "Capital goods-electrical equipment" 14 5.79195213317871
"51" 1374690 "Capital goods" "Honeywell" "Mr. Michael R Bonsignore" "Plattsburg" "NY" 53 "US Naval Acad" "BSE" 63 22 "" "none" 0 0 NA NA 25 1 552711 359657 462321 NA NA 0.112999998033047 5963 322.200012207031 19 "Capital goods-electrical equipment" 14 6.13820505142212
"52" 530000 "Capital goods" "Premier Industrial" "Mr. Morton L Mandel" "Cleveland" "OH" 72 "" "" NA NA "" "none" 0 0 NA NA 54 24 520000 NA 10000 NA 2408000 19.3840007781982 713 91.3000030517578 15 "Capital goods-electrical equipment" 14 5.72427606582642
"53" 2010110 "Capital goods" "DeereCo" "Mr. Hans W Becherer" "Detroit" "MI" 59 "Trinity College" "BA" 57 22 "Harvard" "MBA" 1 1 62 27 32 5 733805 183092 192713 900501 5804030 0.0399999991059303 8057 308.299987792969 14 "Capital goods-heavy equipment" 14 6.30321979522705
"54" 1518830 "Capital goods" "Tenneco" "Mr. Dana G Mead" "Cresco" "IA" 58 "US Military Aca" "BS" 57 21 "MIT" "PhD" 0 1 67 31 2 1 664839 700000 153986 NA NA 0.0379999987781048 13255 451 6 "Capital goods-heavy equipment" 14 6.18150901794434
"55" 1634570 "Capital goods" "Caterpillar" "Mr. Donald V Fites" "Tippecanoe" "IN" 60 "Valparaiso U" "BS" 56 22 "MIT" "MS" 0 1 71 37 38 4 670000 339024 32160 593382 3415780 0.0230000000447035 11615 681 16 "Capital goods-heavy equipment" 14 6.21340417861938
"56" 1090460 "Capital goods" "Ingersoll-Rand" "Mr. James E Perrella" "Gloversville" "NY" 58 "Purdue U" "MSI" 61 25 "" "none" 0 0 NA NA 32 1 433333 420000 237129 NA NA 0.0759999975562096 4021 163.5 18 "Capital goods-heavy equipment" 14 6.03761005401611
"57" 2187170 "Capital goods" "Illinois Tool Works" "Mr. John D Nichols" "China" "" 63 "Harvard" "BA" 53 22 "Harvard" "MBA" 1 1 55 24 14 12 600000 567600 1019570 NA 16253000 0.367000013589859 3159 206.600006103516 21 "Capital goods-other industrial equipment" 14 6.33988285064697
"58" 2251800 "Capital goods" "Dover" "Mr. Gary L Roubos" "Denver" "CO" 57 "U of Colorado" "BS" 59 22 "Harvard" "MBA" 1 1 63 26 24 13 610000 300000 324979 1016820 7290870 0.158999994397163 2484 158.300003051758 20 "Capital goods-other industrial equipment" 14 6.35253000259399
"59" 2626950 "Capital goods" "Cooper Industries" "Mr. RobertCizik" "Scranton" "PA" 63 "U of Connecticu" "BA" 53 22 "Harvard" "MBA" 1 1 58 27 33 19 835000 400000 1391950 NA 13981100 0.222000002861023 6274 367.100006103516 9 "Capital goods-other industrial equipment" 14 6.41945219039917
"60" 915185 "Capital goods" "Stanley Works" "Mr. Richard H Ayers" "Newton" "MA" 51 "MIT" "BS" 65 22 "MIT" "MS" 0 1 65 22 22 7 460000 229690 225495 NA 4850340 0.114000000059605 2273 92.5999984741211 8 "Capital goods-other industrial equipment" 14 5.96150922775269
"61" 925492 "Capital goods" "EGG" "Mr. John M Kucharski" "Milwaukee" "WI" 58 "Marquette U" "BS" 58 22 "George Washingt" "JD" 0 1 65 29 22 7 540020 NA 36250 349222 3899810 0.101999998092651 2698 79.5999984741211 4 "Capital goods-other industrial equipment" 14 5.96637296676636
"62" 737980 "Capital goods" "BriggsStratton" "Mr. Frederick P Stratton" "Milwaukee" "WI" 55 "Yale" "BS" 61 22 "Stanford U" "MBA" 1 1 63 24 21 17 476736 254577 6667 NA 2592670 2.68300008773804 1190 84 31 "Capital goods-other industrial equipment" 14 5.86804485321045
"63" 2427560 "Capital goods" "Tyco International" "Mr. L DennisKozlowski" "Irvington" "NJ" 47 "Seton Hall C" "BA" 68 21 "" "none" 0 0 NA NA 19 2 920000 NA 1507560 NA NA 0.58899998664856 3133 79.1999969482422 8 "Capital goods-other industrial equipment" 14 6.38516998291016
"64" 2051540 "Capital goods" "York International" "Mr. Robert N Pokelwaldt" "North Tonawanda" "NY" 57 "SUNY Buffalo" "BS" 60 23 "" "none" 0 0 NA NA 11 3 435000 202356 4698 1409490 8392090 0.499000012874603 2032 75.5 15 "Capital goods-other industrial equipment" 14 6.31207990646362
"65" 579034 "Capital goods" "Parker Hannifin" "Mr. Duane E Collins" "Holcombe" "WI" 58 "U of Wisc Madis" "BSM" 61 25 "" "none" 0 0 NA NA 33 1 430000 134349 14685 NA NA 0.0659999996423721 2492 64.5 8 "Capital goods-other industrial equipment" 14 5.76270389556885
"66" 1799560 "Chemicals" "Hercules" "Mr. Thomas L Gossage" "Nashville" "TN" 60 "Georgia Tech" "BS" 56 22 "Georgia Tech" "MS" 0 1 57 23 6 3 725834 924000 149725 NA 4897470 0.596000015735626 2773 208.399993896484 25 "Chemicals-diversified" 15 6.25516605377197
"67" 3202030 "Chemicals" "FMC" "Mr. Robert N Burt" "Lakewood" "OH" 57 "Princeton" "BS" 59 22 "Harvard" "MBA" 1 1 64 27 21 3 562500 313875 44121 2281530 5644160 0.207000002264977 3754 41 7 "Chemicals-diversified" 15 6.50542497634888
"68" 1159420 "Chemicals" "RohmHaas" "Mr. J LawrenceWilson" "Rosedale" "MS" 58 "Vanderbilt U" "BE" 58 22 "Harvard" "MBA" 1 1 63 27 29 6 552500 86071 520851 NA 5201180 0.0890000015497208 3269 126 14 "Chemicals-diversified" 15 6.0642409324646
"69" 1702120 "Chemicals" "Dow Chemical" "Mr. Frank P Popoff" "Bulgaria" "" 58 "Indiana U" "BS" 57 21 "Indiana U" "MBA" 1 1 59 23 35 6 890004 593750 218365 NA 7727900 0.028999999165535 18060 644 4 "Chemicals-diversified" 15 6.23098993301392
"70" 911699 "Chemicals" "PPG Industries" "Mr. Jerry E Dempsey" "Landrum" "SC" 61 "Clemson U" "BSM" 54 21 "Georgia State U" "MBA" 1 1 68 35 1 1 250000 312000 349699 NA NA 0.00499999988824129 5754 295 15 "Chemicals-diversified" 15 5.95985078811646
"71" 3049780 "Chemicals" "Union Carbide" "Mr. Robert D Kennedy" "Pittsburgh" "PA" 61 "Cornell" "BSM" 55 22 "" "none" 0 0 NA NA 39 8 815000 590000 107829 1536950 9543830 0.148000001907349 4640 165 14 "Chemicals-diversified" 15 6.48426914215088
"72" 816573 "Chemicals" "Olin" "Mr. John W Johnstone Jr" "Brooklyn" "NY" 61 "Hartwick C" "BA" 54 21 "" "none" 0 0 NA NA 15 7 600000 140000 76573 NA 4717150 0.230000004172325 2423 -92 3 "Chemicals-diversified" 15 5.91199493408203
"73" 2684250 "Chemicals" "EI du Pont de Nemour" "Mr. Edgar S Woolard Jr" "Washington" "NC" 60 "NC State U" "BS" 56 22 "" "none" 0 0 NA NA 36 5 792000 450000 7005 1435240 11100300 0.0689999982714653 32621 566 13 "Chemicals-diversified" 15 6.42882299423218
"74" 6680930 "Chemicals" "Monsanto" "Mr. Richard J Mahoney" "Springfield" "MA" 60 "U of Massachuse" "BS" 55 21 "" "none" 0 0 NA NA 32 11 900000 1188000 1358380 3234550 14389900 0.123999997973442 7902 494 14 "Chemicals-diversified" 15 6.82483720779419
"75" 1662400 "Chemicals" "BF Goodrich" "Mr. John D Ong" "Uhrichsville" "OH" 60 "Ohio State U" "BA" 54 20 "Harvard" "LLB" 0 1 57 23 33 15 737000 643500 187464 94438 7510580 0.425000011920929 1818 128.300003051758 1 "Chemicals-specialized" 15 6.22073602676392
"76" 1205060 "Chemicals" "Air ProductsChemic" "Mr. Harold A Wagner" "Oakland" "CA" 58 "Stanford U" "BSM" 58 22 "Harvard" "MBA" 1 1 63 27 31 2 569231 256000 91992 287838 2563680 0.0410000011324883 3342 207 19 "Chemicals-specialized" 15 6.08100891113281
"77" 865984 "Chemicals" "Eastman Chemical" "Mr. Earnest W Deavenport" "Macon" "MS" 56 "Mississippi Sta" "BS" 60 22 "MIT" "MS" 0 1 85 47 34 1 500000 276028 50118 39838 NA 0.00100000004749745 3903 247 NA "Chemicals-specialized" 15 5.93751001358032
"78" 3351880 "Chemicals" "International Flavor" "Mr. Eugene P Grisanti" "Buffalo" "NY" 64 "Boston U" "LLB" 53 23 "Harvard" "LLM" 0 1 54 24 34 9 700000 350000 2301880 NA 11978400 1.39499998092651 1189 202.5 20 "Chemicals-specialized" 15 6.52528810501099
"79" 992927 "Chemicals" "Praxair" "Mr. H WilliamLichtenber" "Yugoslavia" "" 59 "U of Iowa" "BA" 57 22 "SUNY Buffalo" "MBA" 1 1 62 27 35 2 546700 350000 96227 NA NA 0.129999995231628 2438 143 6 "Chemicals-specialized" 15 5.99691677093506
"80" 3059790 "Chemicals" "Lubrizol" "Dr. Lester E Coleman" "Akron" "OH" 63 "U of Akron" "BS" 52 21 "U of Illinois" "PhD" 0 1 55 24 39 16 652713 253310 83745 2070020 8391160 0.351999998092651 1526 85 17 "Chemicals-specialized" 15 6.48569202423096
"81" 2113310 "Chemicals" "Lyondell Petrochemic" "Dr. Bob G Gower" "West Frankfort" "IL" 56 "Southern Illino" "BA" 58 20 "U of Minnesota" "PhD" 0 1 63 25 31 6 555099 460000 1098210 NA 7135840 0.0689999982714653 3850 4 5 "Chemicals-specialized" 15 6.32496309280396
"82" 833152 "Chemicals" "Nalco Chemical" "Mr. Edward J Mooney" "Omar" "WV" 53 "U of Texas Aust" "BS" 64 23 "U of Texas Aust" "JD" 0 1 67 26 25 1 390000 176982 266170 NA NA 0.0570000000298023 1389 152.699996948242 16 "Chemicals-specialized" 15 5.9207239151001
"83" 1359730 "Chemicals" "Sigma-Aldrich" "Mr. Carl T Cori" "St Louis" "MO" 57 "U of Wisc Madis" "BS" 59 22 "Washington U" "PhD" 0 1 69 32 24 11 600000 299721 460008 NA 6364670 0.25900000333786 739 107.199996948242 18 "Chemicals-specialized" 15 6.13345289230347
"84" 903494 "Chemicals" "Morton International" "Mr. S. JayStewart" "Pineville" "WV" 55 "U of Cincinnati" "BS" 61 22 "West Virginia U" "MBA" 1 1 66 27 21 1 455000 434844 13650 NA NA 0.0329999998211861 2537 154.399993896484 23 "Chemicals-specialized" 15 5.95592498779297
"85" 3151000 "Chemicals" "Sherwin-Williams" "Mr. John G Breen" "Cleveland" "OH" 59 "John Carroll U" "BS" 56 21 "Case Western" "MBA" 1 1 61 26 15 15 722800 560000 1392900 475295 10275900 0.583000004291534 2949 165.199996948242 21 "Chemicals-specialized" 15 6.49844789505005
"86" 2793820 "Chemicals" "WR Grace" "Mr. J P Bolduc" "Lewiston" "ME" 54 "St Cloud State" "BA" 61 21 "" "none" 0 0 NA NA 11 1 800000 986000 1007820 NA NA 0.296000003814697 4408 26 11 "Chemicals-specialized" 15 6.44619798660278
"87" 1268280 "Chemicals" "Witco" "Mr. William R Toller" "Fort Smith" "AR" 63 "U of Arkansas" "BA" 56 25 "" "none" 0 0 NA NA 10 4 545000 364100 14643 344538 3845020 0.0850000008940697 2143 19.7999992370605 16 "Chemicals-specialized" 15 6.10321521759033
"88" 1452590 "Chemicals" "Great Lakes Chemical" "Dr. EmersonKampen" "Kalamazoo" "MI" 66 "U of Michigan" "BS" 51 23 "" "none" 0 0 NA NA 43 17 865558 500000 2358 84675 13625300 0.950999975204468 1792 272.799987792969 36 "Chemicals-specialized" 15 6.16214323043823
"89" 536794 "Chemicals" "IMC Fertilizer Group" "Mr. Wendell F Bueche" "Flushing" "MI" 63 "U of Notre Dame" "BSM" 52 21 "" "none" 0 0 NA NA 1 1 500040 NA 36754 NA NA 0.0820000022649765 1074 -167.600006103516 -1 "Chemicals-specialized" 15 5.72980785369873
"90" 1101570 "Chemicals" "Ethyl" "Mr. Bruce C Gottwald" "Richmond" "VA" 60 "VMI" "BS" 54 20 "" "none" 0 0 NA NA 38 2 770000 265000 38500 28066 3116090 7.31300020217896 1938 90 8 "Chemicals-specialized" 15 6.04201221466064
"91" 607289 "ComputersComm" "Raychem" "Mr. Robert J Saldich" "New York" "NY" 60 "Rice U" "BS" 56 22 "Harvard" "MBA" 1 1 61 27 30 4 497289 110000 NA NA 2858160 0.0450000017881393 1394 9 4 "Computerscommunications-major systems" 16 5.7833948135376
"92" 7709730 "ComputersComm" "International Busine" "Mr. Louis V Gerstner Jr" "Mineola" "NY" 52 "Dartmouth" "BA" 63 21 "Harvard" "MBA" 1 1 65 23 1 1 1500000 1125000 5084730 NA NA 0.00499999988824129 62716 -7987 -9 "Computerscommunications-major systems" 16 6.88703918457031
"93" 2500000 "ComputersComm" "Compaq Computer" "Mr. EckhardPfeiffer" "Germany" "" 52 "Nuremberg Busin" "BA" 63 21 "SMU" "MBA" 1 1 83 41 11 3 1000000 1500000 NA NA 9649150 0.00100000004749745 7191 462.200012207031 22 "Computerscommunications-major systems" 16 6.39794015884399
