"state" "statefips" "county" "countycode" "acres1997" "acres2002" "acres2007" "farms1997" "farms2002" "farms2007" "large1997" "large2002" "large2007" "small1997" "small2002" "small2007"
"94" "ARKANSAS" 5 "CALHOUN" 13 18380 19086 16405 124 116 101 1 NA 2 6 NA 7
"95" "ARKANSAS" 5 "CARROLL" 15 245635 268833 242506 1104 1089 1139 27 43 36 27 27 47
"96" "ARKANSAS" 5 "CHICOT" 17 295039 268742 285517 386 357 382 89 84 100 4 7 9
"97" "ARKANSAS" 5 "CLARK" 19 99772 97544 81808 411 374 430 15 16 15 16 9 18
"98" "ARKANSAS" 5 "CLAY" 21 331487 342586 330464 667 702 731 110 120 103 11 8 13
"99" "ARKANSAS" 5 "CLEBURNE" 23 125838 125097 129815 793 807 905 6 6 8 24 22 38
"100" "ARKANSAS" 5 "CLEVELAND" 25 33017 35600 31083 242 220 241 2 1 3 13 6 10
"101" "ARKANSAS" 5 "COLUMBIA" 27 61330 55037 47044 345 339 306 5 5 4 10 9 16
"102" "ARKANSAS" 5 "CONWAY" 29 170112 173497 187142 799 779 994 16 20 21 31 17 39
"103" "ARKANSAS" 5 "CRAIGHEAD" 31 377501 350149 336919 824 730 736 113 120 125 40 40 79
"104" "ARKANSAS" 5 "CRAWFORD" 33 145980 150994 119227 898 916 1026 21 26 17 58 52 95
"105" "ARKANSAS" 5 "CRITTENDEN" 35 329968 305671 313688 276 238 266 118 110 102 11 8 6
"106" "ARKANSAS" 5 "CROSS" 37 348915 325859 282963 412 346 364 122 110 98 25 10 9
"107" "ARKANSAS" 5 "DALLAS" 39 24344 25896 19918 135 125 106 1 3 3 5 5 5
"108" "ARKANSAS" 5 "DESHA" 41 282522 284647 306496 324 264 273 109 108 92 12 2 5
"109" "ARKANSAS" 5 "DREW" 43 127632 116363 124371 379 296 368 44 34 30 13 5 17
"110" "ARKANSAS" 5 "FAULKNER" 45 224067 224957 190089 1242 1317 1341 26 22 21 63 68 109
"111" "ARKANSAS" 5 "FRANKLIN" 47 174274 175687 152822 844 832 759 27 27 22 24 12 13
"112" "ARKANSAS" 5 "FULTON" 49 241928 249516 177221 820 820 702 26 31 23 10 7 22
"113" "ARKANSAS" 5 "GARLAND" 51 47283 46454 39474 412 386 439 2 2 1 31 31 44
"114" "ARKANSAS" 5 "GRANT" 53 34405 36796 34613 245 251 282 3 5 4 25 22 35
"115" "ARKANSAS" 5 "GREENE" 55 273911 262038 267263 812 827 770 76 73 78 31 40 54
"116" "ARKANSAS" 5 "HEMPSTEAD" 57 193354 203678 210571 814 783 894 33 36 41 36 20 39
"117" "ARKANSAS" 5 "HOT SPRING" 59 79136 74362 72122 498 486 644 6 7 3 23 15 40
"118" "ARKANSAS" 5 "HOWARD" 61 108559 109815 110712 704 642 592 16 11 16 47 20 16
"119" "ARKANSAS" 5 "INDEPENDENCE" 63 290445 287849 249653 1146 1117 1121 54 72 50 47 40 38
"120" "ARKANSAS" 5 "IZARD" 65 194626 214662 170415 774 741 639 18 24 29 21 15 15
"121" "ARKANSAS" 5 "JACKSON" 67 343359 332431 302125 501 398 445 104 99 81 13 10 16
"122" "ARKANSAS" 5 "JEFFERSON" 69 296005 275717 303080 399 378 489 96 80 89 26 26 29
"123" "ARKANSAS" 5 "JOHNSON" 71 119255 117834 105820 664 694 607 12 14 10 23 19 37
"124" "ARKANSAS" 5 "LAFAYETTE" 73 96865 103948 97628 276 284 313 26 23 23 15 10 10
"125" "ARKANSAS" 5 "LAWRENCE" 75 302120 295687 263615 714 614 592 75 80 65 16 19 17
"126" "ARKANSAS" 5 "LEE" 77 284228 278113 302490 292 257 251 90 81 88 2 3 6
"127" "ARKANSAS" 5 "LINCOLN" 79 188831 199204 186024 316 315 384 57 61 51 6 10 10
"128" "ARKANSAS" 5 "LITTLE RIVER" 81 151842 147173 139291 413 424 482 29 23 21 13 11 28
"129" "ARKANSAS" 5 "LOGAN" 83 206762 199617 160380 1032 962 942 23 21 17 33 27 29
"130" "ARKANSAS" 5 "LONOKE" 85 402062 361015 371423 958 777 832 121 111 109 53 31 64
"131" "ARKANSAS" 5 "MADISON" 87 292218 294801 259540 1298 1270 1339 40 47 37 42 26 29
"132" "ARKANSAS" 5 "MARION" 89 144536 143272 130445 544 526 463 19 23 25 14 12 26
"133" "ARKANSAS" 5 "MILLER" 91 157316 158208 174931 553 516 601 31 29 34 25 26 31
"134" "ARKANSAS" 5 "MISSISSIPPI" 93 503134 468501 461328 496 388 369 179 155 159 19 16 19
"135" "ARKANSAS" 5 "MONROE" 95 241790 232077 242235 265 250 229 92 91 83 6 4 2
"136" "ARKANSAS" 5 "MONTGOMERY" 97 76034 78085 73721 446 413 456 2 3 5 19 18 16
"137" "ARKANSAS" 5 "NEVADA" 99 74569 81571 65215 403 393 395 9 12 6 19 14 9
"138" "ARKANSAS" 5 "NEWTON" 101 114008 131214 112985 578 613 636 6 14 15 14 18 10
"139" "ARKANSAS" 5 "OUACHITA" 103 32255 33050 32513 204 195 222 2 4 3 18 13 20
"140" "ARKANSAS" 5 "PERRY" 105 77306 67728 72681 429 380 453 12 5 6 11 7 27
"141" "ARKANSAS" 5 "PHILLIPS" 107 367054 329021 437274 347 301 307 109 105 146 6 11 14
"142" "ARKANSAS" 5 "PIKE" 109 71188 67848 83570 435 393 425 4 2 13 19 16 11
"143" "ARKANSAS" 5 "POINSETT" 111 413012 381532 340704 610 448 418 155 146 131 14 9 17
"144" "ARKANSAS" 5 "POLK" 113 135156 146287 133351 930 845 1007 6 19 7 53 18 53
"145" "ARKANSAS" 5 "POPE" 115 161339 168592 153693 1016 1044 1080 21 19 19 45 30 49
"146" "ARKANSAS" 5 "PRAIRIE" 117 309310 307806 331825 454 431 539 120 128 116 4 6 8
"147" "ARKANSAS" 5 "PULASKI" 119 117614 118426 94904 484 575 484 33 37 28 37 63 75
"148" "ARKANSAS" 5 "RANDOLPH" 121 270194 246422 252325 750 710 766 63 51 56 7 7 29
"149" "ARKANSAS" 5 "SAINT FRANCIS" 123 294071 279233 255102 352 347 310 102 96 84 7 4 14
"150" "ARKANSAS" 5 "SALINE" 125 53349 55967 44782 376 432 371 3 5 2 25 40 46
"151" "ARKANSAS" 5 "SCOTT" 127 118183 123526 96465 710 697 593 10 15 8 22 13 26
"152" "ARKANSAS" 5 "SEARCY" 129 196817 183472 194963 677 615 617 32 31 39 22 17 12
"153" "ARKANSAS" 5 "SEBASTIAN" 131 119082 121663 104459 807 812 931 10 15 14 48 49 54
"154" "ARKANSAS" 5 "SEVIER" 133 136824 124049 116557 635 590 598 13 15 11 19 19 26
"155" "ARKANSAS" 5 "SHARP" 135 183492 178199 184105 687 680 723 24 24 29 17 31 26
"156" "ARKANSAS" 5 "STONE" 137 146209 164113 142397 659 681 556 16 17 16 35 14 8
"157" "ARKANSAS" 5 "UNION" 139 37151 40477 37917 317 342 356 4 5 4 19 16 23
"158" "ARKANSAS" 5 "VAN BUREN" 141 138676 131661 114270 633 603 566 14 8 10 14 14 16
"159" "ARKANSAS" 5 "WASHINGTON" 143 348887 367638 327225 2726 2800 2915 21 23 23 172 149 274
"160" "ARKANSAS" 5 "WHITE" 145 411784 394424 411404 1862 1823 2199 67 70 75 72 70 122
"161" "ARKANSAS" 5 "WOODRUFF" 147 286775 274664 274364 252 225 262 107 98 85 2 4 6
"162" "ARKANSAS" 5 "YELL" 149 195422 181155 175097 899 829 993 23 28 25 37 11 50
"163" "CALIFORNIA" 6 "ALAMEDA" 1 272881 218094 204633 598 424 525 54 34 36 194 102 161
"164" "CALIFORNIA" 6 "ALPINE" 3 4173 NA 1810 18 14 7 3 3 NA 7 NA NA
"165" "CALIFORNIA" 6 "AMADOR" 5 231859 194144 163482 453 451 479 35 34 26 64 55 70
"166" "CALIFORNIA" 6 "BUTTE" 7 429484 381532 373786 2312 2128 2048 86 58 57 710 566 613
"167" "CALIFORNIA" 6 "CALAVERAS" 9 287446 260865 201026 606 576 631 74 60 44 95 89 148
"168" "CALIFORNIA" 6 "COLUSA" 11 442556 485392 474092 896 821 814 107 104 104 75 43 64
"169" "CALIFORNIA" 6 "CONTRA COSTA" 13 168270 126338 146993 770 592 634 48 27 31 300 238 263
"170" "CALIFORNIA" 6 "DEL NORTE" 15 14051 13356 18168 82 89 85 5 4 4 26 36 28
"171" "CALIFORNIA" 6 "EL DORADO" 17 117775 117064 107080 991 1116 1268 13 19 15 300 344 393
"172" "CALIFORNIA" 6 "FRESNO" 19 1935922 1928865 1636224 7040 6281 6081 401 363 345 1347 965 964
"173" "CALIFORNIA" 6 "GLENN" 21 499793 506272 489186 1358 1283 1242 103 92 99 213 140 211
"174" "CALIFORNIA" 6 "HUMBOLDT" 23 619450 633931 597477 989 993 852 127 108 104 178 210 191
"175" "CALIFORNIA" 6 "IMPERIAL" 25 495144 514101 427349 609 537 452 150 158 124 89 54 54
"176" "CALIFORNIA" 6 "INYO" 27 205114 226788 292552 106 85 94 15 16 18 28 25 20
"177" "CALIFORNIA" 6 "KERN" 29 2875932 2731341 2361765 2369 2147 2117 406 356 348 457 345 384
"178" "CALIFORNIA" 6 "KINGS" 31 661363 645598 680662 1215 1154 1129 105 116 113 273 198 247
"179" "CALIFORNIA" 6 "LAKE" 33 149456 144037 124199 954 880 845 28 29 19 296 225 237
"180" "CALIFORNIA" 6 "LASSEN" 35 456364 481826 459126 446 419 459 89 73 72 49 45 67
"181" "CALIFORNIA" 6 "LOS ANGELES" 37 142960 111458 108463 1651 1543 1734 27 23 27 1106 1003 1141
"182" "CALIFORNIA" 6 "MADERA" 39 678198 682486 679729 1867 1780 1708 142 130 112 227 208 189
"183" "CALIFORNIA" 6 "MARIN" 41 172454 150645 133275 345 254 255 66 52 49 71 36 41
"184" "CALIFORNIA" 6 "MARIPOSA" 43 210613 219133 212524 336 284 302 63 36 43 60 22 43
"185" "CALIFORNIA" 6 "MENDOCINO" 45 656105 707466 608674 1270 1184 1136 136 122 81 241 220 217
"186" "CALIFORNIA" 6 "MERCED" 47 920813 1006127 1041115 3218 2964 2607 178 194 189 536 333 337
"187" "CALIFORNIA" 6 "MODOC" 49 681687 608928 597740 498 428 448 130 111 103 28 11 27
"188" "CALIFORNIA" 6 "MONO" 51 72603 54366 44610 75 63 84 19 11 12 6 3 13
"189" "CALIFORNIA" 6 "MONTEREY" 53 1531933 1260613 1327972 1395 1216 1199 269 178 215 280 223 245
"190" "CALIFORNIA" 6 "NAPA" 55 228821 237548 223246 1345 1456 1638 59 62 51 416 480 624
"191" "CALIFORNIA" 6 "NEVADA" 57 78086 82336 70167 561 599 690 20 8 11 152 167 209
"192" "CALIFORNIA" 6 "ORANGE" 59 60499 68018 87435 421 348 325 6 3 5 255 193 203
"193" "CALIFORNIA" 6 "PLACER" 61 156917 131311 132221 1339 1438 1488 37 23 14 453 509 624
"194" "CALIFORNIA" 6 "PLUMAS" 63 118075 170521 120253 145 142 142 31 22 19 20 26 26
"195" "CALIFORNIA" 6 "RIVERSIDE" 65 526846 572036 354753 3877 3186 3463 89 101 63 1952 1494 1899
"196" "CALIFORNIA" 6 "SACRAMENTO" 67 330804 314317 328593 1643 1513 1393 83 82 78 612 541 534
"197" "CALIFORNIA" 6 "SAN BENITO" 69 536613 578351 579851 693 677 625 112 99 89 175 209 246
"198" "CALIFORNIA" 6 "SAN BERNARDINO" 71 935682 513642 514234 1863 1386 1405 31 30 18 954 650 772
"199" "CALIFORNIA" 6 "SAN DIEGO" 73 505006 408003 303889 7293 5255 6687 69 58 46 4929 3327 4562
"200" "CALIFORNIA" 6 "SAN FRANCISCO" 75 23 NA 7 10 8 6 NA NA NA 10 8 6
"201" "CALIFORNIA" 6 "SAN JOAQUIN" 77 830189 812629 737503 4387 4026 3624 177 176 156 1104 876 875
"202" "CALIFORNIA" 6 "SAN LUIS OBISPO" 79 1344641 1318142 1369604 2343 2322 2784 248 212 214 456 437 509
"203" "CALIFORNIA" 6 "SAN MATEO" 81 58140 41530 57089 302 306 329 17 8 14 103 97 111
"204" "CALIFORNIA" 6 "SANTA BARBARA" 83 835271 756937 727050 1771 1444 1597 147 139 119 612 463 510
"205" "CALIFORNIA" 6 "SANTA CLARA" 85 326522 320851 299866 1242 1026 1068 60 53 45 558 451 455
"206" "CALIFORNIA" 6 "SANTA CRUZ" 87 80343 67166 47489 863 754 682 18 15 11 364 306 287
"207" "CALIFORNIA" 6 "SHASTA" 89 348074 333828 390812 1108 1126 1473 79 76 77 370 323 495
"208" "CALIFORNIA" 6 "SIERRA" 91 48704 58649 28782 57 52 50 11 12 8 3 2 NA
"209" "CALIFORNIA" 6 "SISKIYOU" 93 639819 610388 597534 883 796 846 121 111 100 95 70 80
"210" "CALIFORNIA" 6 "SOLANO" 95 372936 351453 358225 986 915 890 90 79 67 258 234 232
"211" "CALIFORNIA" 6 "SONOMA" 97 607177 627227 530895 3156 3447 3429 114 97 109 1119 1259 1315
"212" "CALIFORNIA" 6 "STANISLAUS" 99 785031 789853 788954 4727 4267 4114 143 134 133 1243 949 1118
"213" "CALIFORNIA" 6 "SUTTER" 101 360070 371964 359802 1514 1391 1263 74 81 82 259 212 193
"214" "CALIFORNIA" 6 "TEHAMA" 103 912664 862440 532206 1679 1573 1752 120 108 97 326 263 291
"215" "CALIFORNIA" 6 "TRINITY" 105 125295 105469 124943 151 135 181 15 9 14 31 20 28
"216" "CALIFORNIA" 6 "TULARE" 107 1375820 1393456 1168684 6223 5738 5240 239 238 200 1517 1218 1242
"217" "CALIFORNIA" 6 "TUOLUMNE" 109 171788 149767 117085 356 358 366 39 34 32 84 89 86
"218" "CALIFORNIA" 6 "VENTURA" 111 377715 332371 259055 2612 2318 2437 82 54 54 1069 852 1028
"219" "CALIFORNIA" 6 "YOLO" 113 554729 550407 479858 1077 1060 983 133 124 106 179 178 146
"220" "CALIFORNIA" 6 "YUBA" 115 229135 234129 160898 897 863 828 43 37 33 217 185 204
"221" "COLORADO" 8 "ADAMS" 1 740674 701471 701575 775 728 895 149 139 114 119 70 131
"222" "COLORADO" 8 "ALAMOSA" 3 179963 204640 176629 312 318 316 48 54 52 17 13 14
"223" "COLORADO" 8 "ARAPAHOE" 5 346534 332585 251812 288 448 627 63 69 49 25 21 47
"224" "COLORADO" 8 "ARCHULETA" 7 104396 103075 149584 227 258 306 28 29 31 26 14 26
"225" "COLORADO" 8 "BACA" 9 1125887 1080386 1300876 637 608 777 301 294 317 6 11 14
"226" "COLORADO" 8 "BENT" 11 767656 735826 877142 280 265 311 92 80 101 24 15 19
"227" "COLORADO" 8 "BOULDER" 13 123375 107629 137668 706 736 746 27 25 24 156 131 165
"228" "COLORADO" 8 "BROOMFIELD" 14 NA NA 6250 NA NA 24 NA NA 2 NA NA 8
"229" "COLORADO" 8 "CHAFFEE" 15 85046 71188 79405 203 212 223 18 12 18 18 28 33
"230" "COLORADO" 8 "CHEYENNE" 17 847878 740486 899567 366 283 380 215 159 193 7 2 6
"231" "COLORADO" 8 "CLEAR CREEK" 19 5213 NA 12460 14 9 27 2 1 4 4 NA 4
"232" "COLORADO" 8 "CONEJOS" 21 261012 267708 228700 423 494 535 61 68 61 22 15 22
"233" "COLORADO" 8 "COSTILLA" 23 355789 354067 401147 166 205 241 30 24 28 10 5 9
"234" "COLORADO" 8 "CROWLEY" 25 375711 375413 451225 214 217 268 64 64 79 13 3 14
"235" "COLORADO" 8 "CUSTER" 27 139388 121882 137799 166 158 226 27 27 34 10 2 1
"236" "COLORADO" 8 "DELTA" 29 265593 262443 252530 1100 1063 1294 53 53 50 148 110 191
"237" "COLORADO" 8 "DENVER" 31 90 40 609 18 10 24 NA NA NA 13 9 11
"238" "COLORADO" 8 "DOLORES" 33 159728 158518 173872 171 216 279 45 45 51 2 3 4
"239" "COLORADO" 8 "DOUGLAS" 35 203527 199491 189210 674 903 1080 43 37 40 61 105 149
"240" "COLORADO" 8 "EAGLE" 37 183459 115998 124044 131 114 152 29 19 21 14 3 12
"241" "COLORADO" 8 "EL PASO" 41 858107 811931 616418 962 1175 1529 165 160 148 113 113 251
"242" "COLORADO" 8 "ELBERT" 39 1102911 1068359 1134199 923 1153 1402 214 176 206 80 84 99
"243" "COLORADO" 8 "FREMONT" 43 271806 264650 295893 622 700 924 60 72 72 182 182 289
"244" "COLORADO" 8 "GARFIELD" 45 408872 404335 335331 495 499 623 74 68 60 55 50 70
"245" "COLORADO" 8 "GILPIN" 47 8805 6045 13290 12 26 27 3 1 3 1 NA NA
"246" "COLORADO" 8 "GRAND" 49 242866 219598 208450 169 173 229 57 44 47 11 7 16
"247" "COLORADO" 8 "GUNNISON" 51 195637 165488 173679 201 186 217 45 38 44 16 9 14
"248" "COLORADO" 8 "HINSDALE" 53 9391 8681 5897 16 19 21 2 2 1 NA NA 1
"249" "COLORADO" 8 "HUERFANO" 55 618914 608002 518619 290 292 309 119 90 92 23 6 11
"250" "COLORADO" 8 "JACKSON" 57 471608 437630 387113 132 89 120 74 59 64 10 3 6
"251" "COLORADO" 8 "JEFFERSON" 59 99823 90366 93294 442 457 540 22 24 18 172 142 213
"252" "COLORADO" 8 "KIOWA" 61 947349 896772 957937 366 357 425 188 181 197 5 1 10
"253" "COLORADO" 8 "KIT CARSON" 63 1360192 1247181 1352319 753 678 786 372 328 334 26 19 7
"254" "COLORADO" 8 "LA PLATA" 67 569709 562664 570189 832 923 1076 54 55 45 49 53 94
"255" "COLORADO" 8 "LAKE" 65 17752 17253 14843 22 34 29 6 1 4 3 5 4
"256" "COLORADO" 8 "LARIMER" 69 534783 521599 489819 1429 1564 1757 96 89 99 223 242 338
"257" "COLORADO" 8 "LAS ANIMAS" 71 2151090 2304766 2179242 492 567 585 216 262 237 17 4 15
"258" "COLORADO" 8 "LINCOLN" 73 1626026 1428404 1400054 489 455 542 266 241 275 17 10 5
"259" "COLORADO" 8 "LOGAN" 75 1107050 1111135 1132299 916 930 1035 303 301 326 42 34 28
